time(s)	cellId	rnti	lcid	packetSize
22.1498	2	7	3	438
22.1543	2	1	3	429
22.2542	2	5	3	97
22.2833	2	1	3	429
22.3219	2	27	3	228
22.3795	2	14	3	333
22.3885	2	29	3	389
22.4117	2	24	3	33
22.4123	2	1	3	429
22.4202	2	5	3	97
22.5412	2	17	3	195
22.5413	2	1	3	429
22.5527	2	22	3	309
22.56	2	30	3	58
22.5862	2	5	3	97
22.5875	2	2	3	494
22.6594	2	3	3	369
22.6703	2	1	3	429
22.6923	2	15	3	139
22.7304	2	19	3	368
22.7522	2	5	3	97
22.7993	2	1	3	429
22.8603	2	8	3	81
22.9182	2	5	3	97
22.9283	2	1	3	429
23.0012	2	20	3	252
23.0573	2	1	3	429
23.0842	2	5	3	97
23.1797	2	24	3	33
23.1863	2	1	3	429
23.1888	2	23	3	52
23.2087	2	22	3	309
23.2202	2	13	3	286
23.2502	2	5	3	97
23.2713	2	15	3	139
23.3153	2	1	3	429
23.3408	2	21	3	476
23.4162	2	5	3	97
23.4443	2	1	3	429
23.4497	2	18	3	447
23.5733	2	1	3	429
23.5822	2	5	3	97
23.6168	2	7	3	438
23.7023	2	1	3	429
23.7482	2	5	3	97
23.8313	2	1	3	429
23.8503	2	15	3	139
23.8647	2	22	3	309
23.886	2	16	3	486
23.9142	2	5	3	97
23.9477	2	24	3	33
23.9603	2	1	3	429
24.0192	2	4	3	186
24.0534	2	25	3	473
24.0802	2	5	3	97
24.0893	2	1	3	429
24.1372	2	17	3	195
24.16	2	30	3	58
24.2183	2	1	3	429
24.2462	2	5	3	97
24.3473	2	1	3	429
24.3657	2	12	3	313
24.4122	2	5	3	97
24.4293	2	15	3	139
24.4763	2	1	3	429
24.5207	2	22	3	309
24.524	2	26	3	270
24.5294	2	3	3	369
24.5782	2	5	3	97
24.6053	2	1	3	429
24.6385	2	9	3	476
24.7157	2	24	3	33
24.7343	2	1	3	429
24.7442	2	5	3	97
24.7522	2	20	3	252
24.7639	2	11	3	356
24.8633	2	1	3	429
24.9102	2	5	3	97
24.9923	2	1	3	429
25.0007	2	18	3	447
25.0083	2	15	3	139
25.0762	2	5	3	97
25.0838	2	7	3	438
25.1213	2	1	3	429
25.1525	2	14	3	333
25.1767	2	22	3	309
25.2422	2	5	3	97
25.2503	2	1	3	429
25.3793	2	1	3	429
25.4082	2	5	3	97
25.4837	2	24	3	33
25.4858	2	23	3	52
25.5083	2	1	3	429
25.5289	2	10	3	497
25.5424	2	19	3	368
25.5531	2	6	3	247
25.5742	2	5	3	97
25.5873	2	15	3	139
25.6373	2	1	3	429
25.7003	2	8	3	81
25.7332	2	17	3	195
25.7402	2	5	3	97
25.76	2	30	3	58
25.7663	2	1	3	429
25.8327	2	22	3	309
25.8953	2	1	3	429
25.9062	2	5	3	97
25.9999	2	27	3	228
26.0243	2	1	3	429
26.0722	2	5	3	97
26.0945	2	29	3	389
26.1533	2	1	3	429
26.1663	2	15	3	139
26.2382	2	5	3	97
26.2517	2	24	3	33
26.2823	2	1	3	429
26.3185	2	2	3	494
26.3994	2	3	3	369
26.4042	2	5	3	97
26.4113	2	1	3	429
26.4454	2	25	3	473
26.4887	2	22	3	309
26.5032	2	20	3	252
26.5403	2	1	3	429
26.5508	2	7	3	438
26.5517	2	18	3	447
26.5702	2	5	3	97
26.6693	2	1	3	429
26.7362	2	5	3	97
26.7453	2	15	3	139
26.7983	2	1	3	429
26.844	2	16	3	486
26.9022	2	5	3	97
26.9273	2	1	3	429
27.0012	2	4	3	186
27.0197	2	24	3	33
27.0492	2	13	3	286
27.0563	2	1	3	429
27.0682	2	5	3	97
27.1447	2	22	3	309
27.1853	2	1	3	429
27.2342	2	5	3	97
27.3143	2	1	3	429
27.3243	2	15	3	139
27.3292	2	17	3	195
27.36	2	30	3	58
27.4002	2	5	3	97
27.4433	2	1	3	429
27.557	2	26	3	270
27.5662	2	5	3	97
27.5723	2	1	3	429
27.7013	2	1	3	429
27.7322	2	5	3	97
27.7828	2	23	3	52
27.7877	2	24	3	33
27.8007	2	22	3	309
27.8303	2	1	3	429
27.8982	2	5	3	97
27.9033	2	15	3	139
27.9255	2	14	3	333
27.9593	2	1	3	429
27.9718	2	21	3	476
28.0178	2	7	3	438
28.0642	2	5	3	97
28.0883	2	1	3	429
28.1027	2	18	3	447
28.2173	2	1	3	429
28.2302	2	5	3	97
28.2542	2	20	3	252
28.2694	2	3	3	369
28.3463	2	1	3	429
28.3544	2	19	3	368
28.3962	2	5	3	97
28.4067	2	12	3	313
28.4567	2	22	3	309
28.4753	2	1	3	429
28.4823	2	15	3	139
28.5403	2	8	3	81
